Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Birth certification (%),ID.OWN.BRTH.ZS,..,..,..,..,..,..,..,..,..,19.8,..,..,..,..,..,..
Afghanistan,AFG,Digital Data Use (1=yes; 0= no),ID.DIG.RECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Afghanistan,AFG,Digital ID Verification (1=yes; 0= no),ID.DIG.AUTH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Afghanistan,AFG,Online Digital Identity (1=yes; 0= no),ID.DIG.AUTH.RM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Albania,ALB,Birth certification (%),ID.OWN.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,84.6,..,..,..
Albania,ALB,Digital Data Use (1=yes; 0= no),ID.DIG.RECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Albania,ALB,Digital ID Verification (1=yes; 0= no),ID.DIG.AUTH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Albania,ALB,Online Digital Identity (1=yes; 0= no),ID.DIG.AUTH.RM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Algeria,DZA,Birth certification (%),ID.OWN.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,98.8,..,..
Algeria,DZA,Digital Data Use (1=yes; 0= no),ID.DIG.RECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Algeria,DZA,Digital ID Verification (1=yes; 0= no),ID.DIG.AUTH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Online Digital Identity (1=yes; 0= no),ID.DIG.AUTH.RM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Andorra,AND,Birth certification (%),ID.OWN.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..
Andorra,AND,Digital Data Use (1=yes; 0= no),ID.DIG.RECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Andorra,AND,Digital ID Verification (1=yes; 0= no),ID.DIG.AUTH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Andorra,AND,Online Digital Identity (1=yes; 0= no),ID.DIG.AUTH.RM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Angola,AGO,Birth certification (%),ID.OWN.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,13.2,..,..,..,..,..
Angola,AGO,Digital Data Use (1=yes; 0= no),ID.DIG.RECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Angola,AGO,Digital ID Verification (1=yes; 0= no),ID.DIG.AUTH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Angola,AGO,Online Digital Identity (1=yes; 0= no),ID.DIG.AUTH.RM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Antigua and Barbuda,ATG,Birth certification (%),ID.OWN.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Digital Data Use (1=yes; 0= no),ID.DIG.RECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Antigua and Barbuda,ATG,Digital ID Verification (1=yes; 0= no),ID.DIG.AUTH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Online Digital Identity (1=yes; 0= no),ID.DIG.AUTH.RM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Argentina,ARG,Birth certification (%),ID.OWN.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98,..
Argentina,ARG,Digital Data Use (1=yes; 0= no),ID.DIG.RECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Argentina,ARG,Digital ID Verification (1=yes; 0= no),ID.DIG.AUTH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Argentina,ARG,Online Digital Identity (1=yes; 0= no),ID.DIG.AUTH.RM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
Armenia,ARM,Birth certification (%),ID.OWN.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,98.6,..,..,..,..,..
